Nome Empresa,Telefone,Celular/WhatsApp,Facebook,Email,Site,Data Extração
A&D,(19) 2092-8955,(19) 99452-5426,https://www.facebook.com/hokinet.internet/videos/a-wikip%C3%A9dia-foi-criada-em-janeiro-de-2001-por-jimmy-wales-e-larry-sanger-como-um/1133465891114084/,,"https://agenciabrasil.ebc.com.br/geral/noticia/2026-01/wikipedia-chega-aos-25-anos-entre-os-10-sites-mais-acessados-do-mundo#:~:text=Armazenando%20mais%20de%2066%20milh%C3%B5es,sites%20mais%20acessados%20do%20planeta.",10/02/2026 04:37:28
CASA SILVESTRE,(19) 98183-2440,,,,http://www.silvestrealimentos.com.br/,10/02/2026 04:37:55
AGROPECUARIA RETORNO,(19) 3805-4282,,,,https://paginaamarela.com.br/empresa/agropecuaria-retorno/mogi-mirim/sp/10240983,10/02/2026 04:38:08
BAZAR TANIA,(19) 3805-4213,(19) 91002-3129,https://www.instagram.com/bazar.das.costureiras,,,10/02/2026 04:39:35
COMUNIDADE TORRE FORTE,(19) 7738-0944,(19) 99023-2539,https://www.instagram.com/danielf.meirelles/,,,10/02/2026 04:41:19
PIC PIC,(19) 99134-1224,(19) 99452-5426,https://www.instagram.com/reel/DK22UXzO5uG/,,https://www.reclameaqui.com.br//baloes-pic-pic-riberball/baloes-de-festa-de-ma-qualidade_vC8WG0AGPigrQ1Oh/,10/02/2026 04:42:47
MIVI,8997-8449,(19) 99452-5426,https://www.instagram.com/reel/DUTYn89iYcW/,,,10/02/2026 04:44:14
LUCIA JOIAS,(19) 3806-3492,(19) 99962-5069,https://www.instagram.com/joiascarlosdovigo/,,,10/02/2026 04:44:57
CONCRELIX S/A ENGENHARIA DE CONCRETO,(19) 3806-3122,,,,http://www.polimix.com.br/,10/02/2026 04:45:25
SERRALHERIA ROBERTO,(19) 3806-2147,,,,https://heylink.me/serralheria_rabello,10/02/2026 04:45:37
MAE RAINHA,(19) 2092-8955,(19) 99452-5426,https://www.instagram.com/reel/DNxrfQmYs1i/,,https://www.ifood.com.br/delivery/mogi-mirim-sp/pastelaria-mae-rainha-vila-universitaria/f89bcb05-7e90-48f7-9883-b88dc7b1da84?UTM_Medium=share,10/02/2026 04:47:04
BAR E MERCEARIA BARBOSA,8997-8449,,,,https://www.consultascnpj.com/sitemap_2019/sitemap71.txt,10/02/2026 04:47:18
PLAYOFF,(19) 12024-0463,(19) 99452-5426,https://www.facebook.com/camizetando/photos/acabou-de-sair-em-parceria-com-a-playoff-confec%C3%A7%C3%B5esencomende-a-sua-produzimos-ta/639264792843715/,,,10/02/2026 04:47:52
ART WINE,(19) 3862-2627,(19) 99452-5426,https://www.instagram.com/reel/DRVcSNvkZau/,,,10/02/2026 04:49:36
CONSTRURIO,(19) 63500-0152,,,,https://www.gov.br/pgfn/pt-br/servicos/editais-de-notificacao/editais-2024/EDITALDEABERTURADEPROCEDIMENTOADMINISTRATIVODERECONHECIMENTODERESPONSABILIDADEN179505.11.2024.pdf,10/02/2026 04:49:49
BAR DA VERA,(19) 00003-4682,(19) 99452-5426,https://www.instagram.com/reel/DQH7vBykT9L/,,,10/02/2026 04:51:16
SUKAO LANCHES,(19) 3805-3125,(19) 99452-5426,https://www.facebook.com/VilaDiaszl/photos/,,"https://www.mbi.com.br/mbi/biblioteca/cidade/mogi-mirim-sp-br/#:~:text=Nesta%20p%C3%A1gina%20voc%C3%AA%20encontra%20a,ou%20povoado%20pertencente%20ao%20munic%C3%ADpio.",10/02/2026 04:52:57
ESTOF-ART,(19) 99615-4655,,,,https://www.consultascnpj.com/sitemap_2019/sitemap315.txt,10/02/2026 04:53:15
MOGI LIMA E JL,8997-8449,(19) 99452-5426,https://www.instagram.com/reel/DQH7vBykT9L/,,,10/02/2026 04:54:54
RACHEL COSMETICOS,(19) 3804-4900,(19) 99452-5426,https://www.instagram.com/daikincosmeticosmogi/,,,10/02/2026 04:56:04
VR TRANSPORTES,8997-8449,(19) 99452-5426,https://www.instagram.com/reel/DSLuRkujCKl/,,,10/02/2026 04:57:46
IRMAOS BATISTA,8997-8449,(19) 91149-4051,https://www.instagram.com/reel/DIjAAz5Apy5/,,,10/02/2026 04:59:14
CJL REPRESENTAOES COMERCIAIS,8997-8449,,,,https://empresas.serasaexperian.com.br/consulta-gratis/CJL-COMERCIO-E-REPRESENTACOES-LTDA-03060361000111,10/02/2026 04:59:28
FLASH JEANS,(19) 3862-1558,(19) 91547-1968,https://www.instagram.com/reel/DLAoC88MEoX/,,https://www.consultascnpj.com/sitemap_2019/sitemap288.txt,10/02/2026 05:01:59
OFICINA SAO JORGE,(19) 99641-9443,(19) 99452-5426,https://www.facebook.com/oficinadovaldir/,,,10/02/2026 05:02:20
LOCADORA LADO A LADO,(19) 9277-8184,,,,http://www.maiorlocadora.com.br/,10/02/2026 05:02:35
SACOLAO NOVA ALIANCA,(19) 3805-3125,(19) 99452-5426,https://www.facebook.com/VilaDiaszl/photos/,,"https://www.mbi.com.br/mbi/biblioteca/cidade/mogi-mirim-sp-br/#:~:text=Nesta%20p%C3%A1gina%20voc%C3%AA%20encontra%20a,ou%20povoado%20pertencente%20ao%20munic%C3%ADpio.",10/02/2026 05:03:58
DHL INFORMATICA,(19) 98865-0001,(19) 99452-5426,https://www.instagram.com/reel/DLnnX4ApA4O/,,https://calefiinformatica.com.br/,10/02/2026 05:05:25
LC COM E SERVICOS,(19) 93068-8381,(19) 99452-5426,https://www.instagram.com/ocamacho.luis,,http://lcai.com.br/,10/02/2026 05:05:48
PASTELARIA SAO JOSE,(19) 3805-2187,(19) 99452-5426,https://www.instagram.com/pastelariasaojose2021/,,https://visitesocorrosp.com.br/guia-completo-de-monte-siao-mg/,10/02/2026 05:06:52
IPCI,(19) 3806-1764,(19) 95774-9962,https://m.facebook.com/IPCITAPIRA/videos/passe-o-seu-fim-de-ano-na-ipci-dia-2912-%C3%BAltimo-domingo-do-ano-participe-dos-cult/621564596980077/,,,10/02/2026 05:07:14
CASA DE REPOUSO EMANUEL,(19) 3862-0044,(19) 92227-6806,https://www.facebook.com/casaderepousoemanuel/,casaderepousoemanuel@hotmail.com,https://casaderepousoemanuel.com.br/,10/02/2026 05:08:37
PALACE,(19) 2018-8321,(19) 99452-5426,https://www.instagram.com/westinpalace_hotel/,,https://www.booking.com/,10/02/2026 05:09:02
MAKTUB,(19) 3805-4972,(19) 96874-7345,https://www.instagram.com/reel/DIqvjGqs7-T/,,https://marklub.com.br/,10/02/2026 05:10:25
NANDO & ELAINE DISHARON,(19) 90897-4132,(19) 99452-5426,https://www.instagram.com/nandomoura_oficial_101/,,https://nandoreis.com.br/,10/02/2026 05:10:48
RESTAURANTE TEMPERO CASEIRO,(19) 99913-7383,(19) 99452-5426,https://www.facebook.com/100064116936043/mentions/,,,10/02/2026 05:11:55
IGREJA UNIDA DE MOGI MIRIM,(19) 3806-5800,,,,https://ongrace.com/,10/02/2026 05:12:26
MINI MERCADO RODRIGUES,8997-8449,,,,https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/181/2025/04/supermercados_em_sp-1.xlsx,10/02/2026 05:12:42
LOTERICA SIMPATIA,(19) 3804-1241,(19) 99452-5426,https://www.instagram.com/reel/DRwfclcjtHG/,,,10/02/2026 05:14:10
POSTO DE MEDICAMENTOS MONTE SERRAT,(19) 3804-3958,,,,https://www.saudemogi.com.br/,10/02/2026 05:14:57
PENTAGON,(19) 99492-7481,(19) 99492-7481,https://www.instagram.com/lojapentagon/,,,10/02/2026 05:15:22
INSTALADORA MATERIAIS ELETRICOS,(19) 3862-1239,(19) 99452-5426,https://www.facebook.com/instaladora.materiaiseletricos/,,,10/02/2026 05:16:52
MY PET,(19) 3806-3831,(19) 99452-5426,https://www.facebook.com/mypetmogi/,ehgcaoagrofarma@hotmail.com,https://landingpage.petz.com.br/banho-e-tosa,10/02/2026 05:19:20
CENTER PISOS,(19) 99123-7580,(19) 99452-5426,https://www.instagram.com/delcenter_porcelanatos/,,,10/02/2026 05:19:47
QUITANDA DIAZ,8997-8449,(19) 99452-5426,https://www.instagram.com/eskinahortifruti/,,,10/02/2026 05:20:41
PIZZARIA CASA VELHA,(19) 3837-3539,(19) 92122-6736,https://www.instagram.com/reel/C8-laPiPc2r/,,https://contato21721.wixsite.com/meusite/jagua-gastronomia,10/02/2026 05:22:10
FAZENDA MATA DA CHUVA,(19) 99717-1321,(19) 99452-5426,https://www.instagram.com/explore/locations/946537278801776/fazenda-mata-da-chuva/,,http://matadachuva.com.br/,10/02/2026 05:24:17
OFICINA MECANICA BIZIGATO,(19) 3862-6263,,,,http://www.bizigato.com.br/,10/02/2026 05:24:50
BAR DO TINA,(19) 3862-5972,(19) 98517-5019,https://www.instagram.com/bardotinamogi/,,https://linktr.ee/bardotinamogi,10/02/2026 05:25:49
DESTAQUE MODAS,(19) 3442-1394,(19) 92301-3853,https://www.instagram.com/reel/C-KnpNOuHKn/,,,10/02/2026 05:27:43
ACOUGUE STO ANTONIO,(19) 3806-2833,(19) 99452-5426,https://www.instagram.com/reel/DKe6D2CRKaX/,,,10/02/2026 05:29:23
CASA SOUTO REFRIGERACAO,(19) 3862-2480,(19) 99452-5426,https://www.facebook.com/soutorefrigeracao/,,,10/02/2026 05:30:56
AMETISTA COSMETICOS,(19) 3549-1859,(19) 99452-5426,https://www.instagram.com/daikincosmeticosmogi/,,,10/02/2026 05:31:20
LOJA REAL,(19) 3862-3815,(19) 91466-5237,https://www.instagram.com/reel/DCosleWxVxm/,,,10/02/2026 05:32:45
ELETRO PIEROBON,(19) 3862-4561,(19) 98128-1144,https://www.facebook.com/EletroChaveiroBorim/,borimcarimbos@uol.com.br,http://www.eletroferrimotores.com.br/,10/02/2026 05:34:25
METALURGICA LUNAR,(19) 3843-3064,,,,http://www.metalurgicalune.com.br/,10/02/2026 05:34:52
CONSTRARTE,(19) 3517-1700,(19) 91125-6344,https://www.instagram.com/reel/DNys9FwXJum/,,,10/02/2026 05:36:36
BAR BRUNO,(19) 42182-5358,(19) 99452-5426,https://www.instagram.com/reel/DSL8qUSjsT0/,,,10/02/2026 05:38:05
TABELIONATO CANI,(19) 3806-5340,,,,https://2tabeliaomogimirim.com.br/,10/02/2026 05:38:37
CASA DAS BATERIAS SANTA CRUZ,(19) 99917-9511,(19) 99452-5426,https://www.facebook.com/Auto-El%C3%A9trica-Santa-Cruz-2129672133989137/,sc.autoeletrica@hotmail.com,,10/02/2026 05:39:35
NOSSO BAR,(19) 99835-1384,(19) 99452-5426,https://www.instagram.com/nossobarerestaurante_/,,,10/02/2026 05:40:17
